Circumstellar Disks http://www.circumstellardisks.org/,,,,,,,,,,,,,,,,,,,,,,,
Downloaded on Mar. 19 2020,,,,,,,,,,,,,,,,,,,,,,,
Database maintained by Karl Stapelfeldt. Last updated Mar. 13 2020,,,,,,,,,,,,,,,,,,,,,,,
Object,Category,Spec Type,R band (mag),Distance (pc),Disk Major Axis &quot;,Disk Diameter (AU),Inclination (degrees),Resolution elements across,At ref. wavelength (microns),Secondary Name,RA (J2000),DEC (J2000),Star-Forming Region,Class,Disk Minor Axis&quot;,Major axis PA,Spatial Resolution &quot;,Date Added,Date Updated,Fractional Infrared Luminosity,XRay Bright,Variable Star,Halpha equivalent width
HD 21997,Debris,A3,6.47,71.9,9.7,697,26.1,2.4,70,,03 31 53.65,-25 36 50.9,,,8.7,24.7,4.125,7/17/2017,12/26/2019 18:49,,,,
Kappa CrB,Debris,K1IV,4.06,31.1,14.15,440,59,2.4,100,HD 142091,15 51 13.93,+35 39 26.6,,,,142,5.893,7/17/2017,12/26/2019 18:48,,,,
CQ Tau,TT,F2,8.9,100,2.9,290,33,2.5,20.5,,05 35 58.47,+24 44 54.1,,,,120,1.17,1/1/2005,12/26/2019 19:01,,0,0,
CY Tau,TT,M1,12.5,140,3.8,532,30,2.5,1300.39,,04 17 33.73,+28 20 47.0,Taurus,,,-30,1.5,1/1/2005,10/18/2018 7:34,,0,0,
HD 10647,Debris,F8 V,5.5,17.35,37,642,52,2.5,870,q1 Eri,01 42 29.32,-53 44 27.0,,,23,55,14.95,1/1/2005,7/17/2017 12:11,0.0004,0,0,
HD 38858,Debris,G2,5.4,15.2,15,228,44,2.5,70,,05 48 34.94,-04 05 40.7,,,,67,6,12/24/2015,12/24/2019 12:42,0.0001,,,
RX J1615.3-3255,wTT,K5,11.2,185,1.24,230,41,2.5,880,,16 15 20.23,-32 55 05.1,,,,143,0.5,1/1/2005,3/18/2019 22:16,,0,0,
Tau Ceti,Debris,G8 V,3.5,3.6,15.3,55,35,2.6,70,,01 44 04.08,-15 56 14.9,,,,105,5.9,1/1/2005,7/29/2017 20:23,1.20E-05,0,0,
DG Tau,TT,K6,11.4,140,0.4,56,31,2.7,2800,,04 27 04.70,+26 06 16.2,Taurus,,,144,0.15,1/1/2005,10/18/2018 7:35,,0,0,
99 Her,Debris,F7+K4,4.7,15.6,15.4,240,50,2.8,70,,18 07 01.54,+30 33 43.7,,,,80,5.6,8/7/2012,8/6/2017 12:25,1.40E-05,0,0,
HD 182681,Debris,B8.5,5.62,69.9,11.53,806,67.2,2.8,70,,19 26 56.48,-29 44 35.6,,,4.46,56,4.125,7/17/2017,12/26/2019 18:52,,,,
RY Tau,TT,K1,12.8,128,0.36,46,65,2.8,1330,,04 21 57.41,+28 26 35.6,Taurus,II,,23,0.13,1/1/2005,12/23/2019 21:16,,0,0,
[MR81] H alpha 17 NE,TT,M2e,16.9,150,0.38,57,20,2.9,2.2,,19 10 43.4,-36 59 09,,,,47,0.13,1/1/2005,1/27/2020 17:28,,0,0,
HD 95086,Debris,A8III,7.5,90.4,12.01,1086,23.3,2.9,70,HIP 53524,10 57 03.02,-68 40 02.5,Sco-Cen,,,100.6,4.125,7/17/2017,3/13/2020 14:54,0.0014,,,
IRAS 04385+2550,YSO,M0.5,15.7,140,4.28,599.2,52,3.1,1300,,04 41 38.82,+25 56 26.8,,,,52,1.4,1/1/2005,1/12/2016,,0,0,
GJ 581,Debris,M3,9.5,6.4,19,122,59,3.2,70,,15 19 27.51,-07 43 19.4,,,,120,5.9,2013,9/15/2017 11:50,8.90E-05,0,1,
FW Tau C,TT,,20.9,140,1.01,141,63,3.4,1300,,04 29 29.71,+26 16 53.2,Taurus,,,41,0.3,2/28/2018,2/28/2018 12:47,,,,
61 Vir,Debris,G7V,4.2,8.5,22,187,77,3.7,70,HD 115617,13 18 24.31,-18 18 40.3,,,9.4,65,5.9,10/1/2012,12/24/2019 12:29,3.00E-05,0,0,
